Country Name,Confirmed Values,Deaths
Afghanistan,209451,7896
Albania,334457,3598
Algeria,271496,6881
Andorra,47890,165
Angola,105288,1933
Antarctica,11,0
Antigua and Barbuda,9106,146
Argentina,10044957,130472
Armenia,447308,8727
Australia,232974,228
Australia,3915992,6529
Australia,105111,91
Australia,1800236,2783
Australia,883620,1365
Australia,287507,256
Australia,2880559,7370
Australia,1293461,952
Austria,5961143,21970
Azerbaijan,828825,10138
Bahamas,37491,833
Bahrain,710693,1553
Bangladesh,2037871,29445
Barbados,106798,579
Belarus,994037,7118
Belgium,766206,0
Belgium,505467,0
Belgium,645338,0
Belgium,464722,0
Belgium,519111,0
Belgium,419029,0
Belgium,351474,0
Belgium,122942,0
Belgium,202905,0
Belgium,63364,33814
Belgium,173827,0
Belgium,504980,0
Belize,70757,688
Benin,27999,163
Bhutan,62627,21
Bolivia,1194277,22365
Bosnia and Herzegovina,401729,16280
Botswana,329758,2801
Brazil,160433,2043
Brazil,337535,7242
Brazil,185668,2167
Brazil,631976,14443
Brazil,1792572,31459
Brazil,1453572,28157
Brazil,897897,11844
Brazil,1323318,15041
Brazil,1898605,28036
Brazil,493391,11053
Brazil,878360,15087
Brazil,607356,11010
Brazil,4189760,65507
Brazil,871612,19021
Brazil,707743,10542
Brazil,2918459,46018
Brazil,1156640,22686
Brazil,424866,8354
Brazil,585935,8715
Brazil,2961756,41919
Brazil,2752662,76844
Brazil,482910,7432
Brazil,182485,2180
Brazil,1985888,22703
Brazil,6469442,179039
Brazil,359674,6502
Brazil,365538,4232
Brunei,279661,225
Bulgaria,1297523,38228
Burkina Faso,22056,396
Burma,633950,19490
Burundi,53631,38
Cabo Verde,63244,413
Cambodia,138719,3056
Cameroon,124392,1965
Canada,629269,5622
Canada,396817,5249
Canada,0,1
Canada,13,0
Canada,154712,2464
Canada,88866,834
Canada,54757,318
Canada,11511,22
Canada,140793,794
Canada,3531,7
Canada,1601325,16234
Canada,56523,93
Canada,1320325,18160
Canada,13,0
Canada,153651,1890
Canada,4989,32
Central African Republic,15368,113
Chad,7679,194
Chile,183811,1961
Chile,293632,2922
Chile,79718,900
Chile,116955,718
Chile,36352,222
Chile,510730,4824
Chile,211158,1951
Chile,243060,2577
Chile,148252,1411
Chile,67653,774
Chile,346804,3354
Chile,1967389,30869
Chile,158355,1333
Chile,221916,2821
Chile,113542,1173
Chile,42,2
Chile,492917,6461
China,2275,7
China,40774,20
China,14715,11
China,17122,2
China,1742,2
China,103248,10
China,13371,2
China,2534,2
China,10483,6
China,3292,7
China,6603,18
China,9948,23
China,2876106,13467
China,72131,4515
China,7437,4
China,8847,1
China,5075,0
China,3423,2
China,40764,5
China,3547,2
China,3514,121
China,1276,0
China,782,0
China,7326,5
China,5880,10
China,67040,595
China,7167,1
China,14567,12
China,4392,3
China,1647,0
China,1521816,82195
China,3089,3
China,9743,4
China,11848,1
Colombia,7851,265
Colombia,950809,18617
Colombia,17130,569
Colombia,417897,10230
Colombia,203497,3276
Colombia,130254,2903
Colombia,119792,2580
Colombia,1874877,30051
Colombia,25704,1041
Colombia,43079,1029
Colombia,76788,1854
Colombia,109404,2694
Colombia,18891,430
Colombia,122594,3961
Colombia,330221,7398
Colombia,2795,37
Colombia,5683,105
Colombia,103346,3593
Colombia,58097,1548
Colombia,117751,3655
Colombia,107879,2609
Colombia,108552,3418
Colombia,125260,5192
Colombia,21998,791
Colombia,73182,2086
Colombia,110026,2514
Colombia,10375,157
Colombia,295934,8382
Colombia,67157,1747
Colombia,127417,4092
Colombia,0,0
Colombia,569412,15428
Colombia,1964,22
Colombia,3477,65
Comoros,9008,161
Congo (Brazzaville),25087,388
Congo (Kinshasa),95749,1464
Costa Rica,1209725,9245
Cote d'Ivoire,88263,834
Croatia,1269326,17987
Cuba,1112643,8530
Cyprus,650685,1330
Czechia,4618256,42491
Denmark,34658,28
Denmark,11971,21
Denmark,3404407,8296
Diamond Princess,712,13
Djibouti,15690,189
Dominica,15760,74
Dominican Republic,660790,4384
Ecuador,1057121,36014
Egypt,515759,24812
El Salvador,201785,4230
Equatorial Guinea,17229,183
Eritrea,10189,103
Estonia,615433,2946
Eswatini,74267,1425
Ethiopia,500116,7572
Fiji,68898,883
Finland,1463644,8967
France,98041,413
France,78055,649
France,201886,1010
France,229020,1092
France,42004,187
France,80017,314
France,494595,921
France,5441,6
France,3452,2
France,12271,63
France,3427,7
France,38618509,161512
Gabon,48981,306
Gambia,12598,372
Georgia,1827537,16971
Germany,5063979,19297
Germany,6741523,28680
Germany,1430661,5564
Germany,1113946,6506
Germany,303612,968
Germany,807013,3614
Germany,2928587,12436
Germany,711570,2770
Germany,3860773,13718
Germany,8048396,31400
Germany,1769913,6971
Germany,492792,2132
Germany,1955828,16814
Germany,961147,6286
Germany,1175406,3481
Germany,883914,8298
Germany,0,0
Ghana,171229,1462
Greece,5548487,34779
Grenada,19680,238
Guatemala,1238247,20182
Guinea,38267,467
Guinea-Bissau,8960,176
Guyana,73075,1298
Haiti,34202,860
Holy See,29,0
Honduras,472250,11111
Hungary,2196804,48762
Iceland,209137,263
India,10751,129
India,2339096,14733
India,66891,296
India,746100,8035
India,851427,12303
India,99370,1182
India,1177804,14146
India,11591,4
India,2007605,26523
India,259167,4013
India,1277848,11046
India,1056770,10714
India,312820,4213
India,479513,4785
India,442579,5331
India,4074536,40312
India,6831358,71589
India,29425,231
India,11415,52
India,1054978,10777
India,8138129,148424
India,139924,2149
India,96788,1625
India,238969,726
